iter	Passed	Remaining
402	10768	15951
403	10788	15915
404	10817	15893
405	10835	15852
406	10870	15838
407	10906	15825
408	10922	15782
409	10943	15748
410	10965	15714
411	10993	15690
412	11023	15668
413	11041	15628
414	11076	15613
415	11108	15594
416	11128	15558
417	11161	15540
418	11198	15528
419	11229	15508
420	11267	15495
421	11301	15479
422	11317	15438
423	11340	15406
424	11375	15390
425	11403	15365
426	11422	15327
427	11449	15301
428	11482	15282
429	11511	15258
430	11534	15227
431	11560	15200
432	11579	15162
433	11613	15145
434	11630	15106
435	11666	15091
436	11696	15068
437	11728	15049
438	11762	15031
439	11796	15013
440	11815	14977
441	11836	14942
442	11867	14921
443	11913	14918
444	11949	14903
445	11976	14876
446	11998	14843
447	12032	14825
448	12062	14803
449	12096	14784
450	12122	14756
451	12154	14735
452	12183	14711
453	12215	14690
454	12235	14655
455	12254	14619
456	12289	14602
457	12319	14579
458	12343	14548
459	12364	14514
460	12400	14499
461	12417	14459
462	12444	14433
463	12478	14415
464	12504	14387
465	12523	14351
466	12540	14312
467	12556	14273
468	12590	14254
469	12610	14219
470	12640	14196
471	12657	14158
472	12694	14144
473	12715	14110
474	12739	14080
475	12773	14061
476	12809	14045
477	12840	14022
478	12859	13987
479	12891	13965
480	12914	13935
481	12932	13898
482	12966	13878
483	12991	13850
484	13008	13812
485	13039	13791
486	13059	13756
487	13078	13721
488	13096	13685
489	13117	13652
490	13135	13617
491	13154	13582
492	13177	13552
493	13208	13529
494	13230	13497
495	13247	13460
496	13280	13441
497	13307	13413
498	13329	13382
499	13359	13359
500	13392	13339
501	13422	13315
502	13440	13279
503	13473	13259
504	13492	13225
505	13513	13192
506	13530	13157
507	13555	13128
508	13575	13095
509	13596	13063
510	13623	13036
511	13652	13012
512	13685	12991
513	13707	12960
514	13743	12942
515	13775	12920
516	13809	12901
517	13829	12868
518	13859	12844
519	13879	12811
520	13911	12790
521	13942	12766
522	13979	12750
523	14001	12718
524	14019	12683
525	14038	12650
526	14076	12634
527	14108	12612
528	14129	12580
529	14162	12559
530	14195	12538
531	14215	12505
532	14254	12489
533	14284	12465
534	14316	12443
535	14338	12412
536	14367	12387
537	14394	12361
538	14419	12333
539	14443	12303
540	14477	12283
541	14495	12248
542	14522	12222
543	14544	12191
544	14569	12163
545	14602	12141
546	14630	12116
547	14667	12098
548	14695	12072
549	14727	12049
550	14749	12019
551	14785	11999
552	14803	11966
553	14820	11931
554	14848	11905
555	14888	11889
556	14909	11858
557	14934	11829
558	14968	11808
559	14991	11779
560	15007	11744
561	15026	11710
562	15049	11681
563	15068	11648
564	15102	11627
565	15120	11594
566	15140	11562
567	15161	11530
568	15182	11500
569	15215	11478
570	15247	11455
571	15282	11435
572	15307	11407
573	15343	11387
574	15372	11361
575	15404	11339
576	15439	11318
577	15465	11291
578	15490	11263
579	15525	11242
580	15548	11212
581	15584	11192
582	15602	11160
583	15642	11142
584	15674	11119
585	15710	11099
586	15730	11067
587	15762	11044
588	15779	11010
589	15810	10987
590	15832	10956
591	15871	10938
592	15902	10914
593	15933	10890
594	15966	10867
595	15998	10844
596	16022	10816
597	16040	10782
598	16061	10752
599	16090	10726
600	16108	10694
601	16141	10671
602	16163	10641
603	16194	10617
604	16225	10593
605	16260	10571
606	16291	10547
607	16312	10517
608	16342	10492
609	16394	10481
610	16430	10460
611	16529	10479
612	16573	10463
613	16610	10442
614	16671	10436
615	16719	10422
616	16742	10392
617	16766	10363
618	16795	10337
619	16812	10304
620	16845	10280
621	16862	10247
622	16890	10221
623	16913	10191
624	16935	10161
625	16960	10133
626	16979	10100
627	17008	10075
628	17042	10051
629	17074	10027
630	17109	10005
631	17145	9983
632	17178	9959
633	17213	9937
634	17234	9906
635	17264	9880
636	17280	9847
637	17303	9817
638	17336	9794
639	17410	9793
640	17477	9788
641	17553	9788
642	17633	9790
643	17672	9769
644	17693	9738
645	17726	9714
646	17743	9681
647	17778	9657
648	17799	9626
649	17834	9603
650	17867	9578
651	17897	9552
652	17926	9525
653	17962	9503
654	17980	9470
655	17998	9438
656	18023	9409
657	18058	9385
658	18090	9360
659	18112	9330
660	18131	9299
661	18158	9271
662	18189	9245
663	18229	9224
664	18247	9192
665	18279	9167
666	18315	9144
667	18335	9113
668	18355	9081
669	18373	9049
670	18404	9023
671	18425	8993
672	18446	8962
673	18475	8936
674	18507	8910
675	18536	8884
676	18553	8852
677	18584	8826
678	18603	8794
679	18622	8763
680	18641	8732
681	18672	8706
682	18705	8681
683	18724	8650
684	18744	8619
685	18761	8587
686	18789	8560
687	18824	8536
688	18856	8511
689	18874	8479
690	18906	8454
691	18926	8423
692	18958	8398
693	18977	8367
694	18994	8335
695	19028	8311
696	19057	8284
697	19089	8259
698	19110	8229
699	19145	8205
700	19164	8174
701	19202	8151
702	19234	8125
703	19253	8095
704	19285	8069
705	19316	8043
706	19341	8015
707	19372	7989
708	19404	7964
709	19424	7933
710	19442	7902
711	19460	7871
712	19478	7840
713	19499	7810
714	19520	7780
715	19546	7753
716	19574	7725
717	19604	7699
718	19623	7669
719	19644	7639
720	19674	7613
721	19692	7582
722	19719	7555
723	19742	7526
724	19773	7500
725	19790	7469
726	19828	7445
727	19863	7421
728	19882	7391
729	19901	7360
730	19920	7330
731	19951	7304
732	19982	7278
733	20015	7253
734	20032	7222
735	20061	7195
736	20096	7171
737	20116	7141
738	20134	7110
739	20150	7079
740	20177	7052
741	20206	7026
742	20241	7001
743	20268	6974
744	20300	6948
745	20323	6919
746	20354	6893
747	20383	6867
748	20417	6842
749	20453	6817
750	20486	6792
751	20504	6762
752	20542	6738
753	20576	6713
754	20593	6682
755	20615	6653
756	20632	6623
757	20655	6594
758	20680	6566
759	20704	6538
760	20727	6509
761	20762	6484
762	20795	6459
763	20821	6431
764	20846	6403
765	20880	6378
766	20911	6352
767	20944	6326
768	20980	6302
769	21002	6273
770	21023	6244
771	21047	6216
772	21070	6187
773	21111	6164
774	21134	6135
775	21155	6106
776	21173	6076
777	21197	6048
778	21227	6022
779	21260	5996
780	21280	5967
781	21316	5942
782	21337	5913
783	21356	5883
784	21378	5855
785	21413	5830
786	21445	5804
787	21462	5774
788	21487	5746
789	21507	5717
790	21527	5688
791	21558	5661
792	21579	5633
793	21608	5606
794	21641	5580
795	21657	5550
796	21689	5524
797	21718	5497
798	21749	5471
799	21769	5442
800	21787	5412
801	21806	5383
802	21823	5353
803	21857	5328
804	21888	5302
805	21921	5276
806	21942	5247
807	21964	5219
808	22001	5194
809	22027	5166
810	22049	5138
811	22080	5112
812	22105	5084
813	22125	5055
814	22147	5027
815	22165	4998
816	22185	4969
817	22209	4941
818	22240	4915
819	22260	4886
820	22291	4860
821	22327	4834
822	22344	4805
823	22378	4779
824	22402	4751
825	22424	4723
826	22452	4696
827	22481	4670
828	22509	4643
829	22534	4615
830	22550	4586
831	22572	4557
832	22588	4528
833	22610	4500
834	22643	4474
835	22663	4445
836	22688	4418
837	22705	4389
838	22727	4361
839	22748	4333
840	22780	4306
841	22808	4280
842	22832	4252
843	22849	4223
844	22881	4197
845	22907	4169
846	22926	4141
847	22946	4112
848	22972	4085
849	22989	4056
850	23028	4032
851	23057	4005
852	23092	3979
853	23126	3953
854	23147	3925
855	23165	3896
856	23198	3870
857	23237	3845
858	23272	3820
859	23305	3793
860	23328	3766
861	23351	3738
862	23368	3709
863	23392	3682
864	23419	3655
865	23451	3628
866	23477	3601
867	23511	3575
868	23544	3549
869	23566	3521
870	23582	3492
871	23599	3464
872	23625	3436
873	23649	3409
874	23682	3383
875	23700	3354
876	23719	3326
877	23740	3298
878	23772	3272
879	23793	3244
880	23825	3218
881	23847	3190
882	23875	3163
883	23902	3136
884	23935	3110
885	23953	3082
886	23977	3054
887	24012	3028
888	24046	3002
889	24079	2976
890	24097	2947
891	24123	2920
892	24152	2893
893	24174	2866
894	24194	2838
895	24213	2810
896	24232	2782
897	24252	2754
898	24286	2728
899	24321	2702
900	24344	2674
901	24377	2648
902	24413	2622
903	24448	2596
904	24476	2569
905	24501	2542
906	24520	2514
907	24548	2487
908	24568	2459
909	24597	2432
910	24632	2406
911	24668	2380
912	24713	2354
913	24733	2327
914	24751	2299
915	24771	2271
916	24788	2243
917	24814	2216
918	24833	2188
919	24854	2161
920	24870	2133
921	24889	2105
922	24919	2078
923	24937	2051
924	24957	2023
925	24974	1995
926	24992	1968
927	25021	1941
928	25055	1914
929	25073	1887
930	25106	1860
931	25133	1833
932	25153	1806
933	25170	1778
934	25202	1752
935	25226	1724
936	25242	1697
937	25275	1670
938	25310	1644
939	25333	1617
940	25350	1589
941	25380	1562
942	25406	1535
943	25437	1509
944	25468	1482
945	25500	1455
946	25531	1428
947	25561	1402
948	25593	1375
949	25616	1348
950	25636	1320
951	25655	1293
952	25671	1266
953	25687	1238
954	25708	1211
955	25739	1184
956	25765	1157
957	25795	1130
958	25814	1103
959	25845	1076
960	25869	1049
961	25906	1023
962	25922	995
963	25938	968
964	25964	941
965	25990	914
966	26014	887
967	26043	860
968	26068	833
969	26086	806
970	26106	779
971	26137	752
972	26166	726
973	26196	699
974	26227	672
975	26262	645
976	26280	618
977	26313	591
978	26337	564
979	26369	538
980	26397	511
981	26419	484
982	26436	457
983	26454	430
984	26471	403
985	26503	376
986	26530	349
987	26567	322
988	26596	295
989	26646	269
990	26665	242
991	26685	215
992	26703	188
993	26724	161
994	26743	134
995	26776	107
996	26799	80
997	26831	53
998	26864	26
999	26884	0
